transect_ID,subarea,x,y,year,month,organic,no_species,alternate_management
19,S,517835.346203836,4971412.41094394,2019,July,0,12,0
21,E,523793.883298089,4984073.33833352,2019,July,0,2,1
22,E,524677.454450524,4984306.61255901,2019,July,0,3,0
27,W,505243.956394526,4964565.45408639,2019,July,0,4,0
28,W,505977.683021717,4964712.13492385,2019,July,0,5,0
29,W,505683.986636466,4965429.69865505,2019,July,0,3,0
39,N,518349.494602608,4983054.75359993,2019,July,0,5,0
40,N,516898.885136431,4982973.04885047,2019,July,0,8,0
41,N,517384.200231948,4982693.84463859,2019,July,0,6,0
42,N,518362.576437047,4982569.07355729,2019,July,0,0,0
43,N,518021.706165442,4979034.85402033,2019,July,0,12,0
44,S,520174.63715964,4973243.27725806,2019,July,0,11,0
51,W,506075.995370196,4970329.80866061,2019,July,0,2,0
52,W,505594.193211956,4970219.44323731,2019,July,0,3,0
53,W,505195.355406398,4969969.02789757,2019,July,0,1,0
59,W,508265.819679822,4967764.28003943,2019,July,0,5,0
61,W,507343.377830752,4967339.06822684,2019,July,0,4,0
63,E,526886.356276842,4986251.06151759,2019,July,1,3,0
64,W,500912.813040689,4972193.29174085,2019,July,1,2,0
66,W,500423.876279277,4973003.58555095,2019,July,1,1,0
67,W,500787.760070427,4972621.34065107,2019,July,1,3,0
1,S,517497.186209328,4972228.92863794,2017,September,1,1,0
2,N,514759.675711603,4980602.1592878,2017,September,0,7,0
8,W,500565.461747376,4972393.98504974,2017,September,1,1,0
9,N,517775.24616469,4979587.01261704,2017,September,0,5,0
10,E,524347.609815609,4983974.1416071,2017,September,0,3,0
11,E,526705.559272607,4982601.25535906,2017,September,0,1,0
12,E,525342.204714294,4982671.43764807,2017,September,0,4,0
13,E,526257.035574518,4983407.4117369,2017,September,0,6,0
14,E,527480.650904288,4983330.91003066,2017,September,0,7,0
15,E,526310.495638795,4986438.62298777,2017,September,1,4,0
16,E,526249.378081342,4986726.95581947,2017,September,1,2,0
17,N,517337.383527847,4979891.57516244,2017,September,0,4,0
18,N,517678.054223447,4980101.6439078,2017,September,0,0,0
19,S,517835.346203836,4971412.41094394,2017,September,0,0,0
21,E,523793.883298089,4984073.33833352,2017,September,0,1,0
22,E,524677.454450524,4984306.61255901,2017,September,0,6,0
27,W,505243.956394526,4964565.45408639,2017,September,0,4,0
28,W,505977.683021717,4964712.13492385,2017,September,0,5,0
29,W,505683.986636466,4965429.69865505,2017,September,0,1,0
34,S,517601.556879404,4973549.13002956,2017,September,0,7,0
36,S,518825.697055214,4974049.60896755,2017,September,0,4,0
37,S,519423.000936838,4974308.02841513,2017,September,0,5,0
39,N,518349.494602608,4983054.75359993,2017,September,0,4,0
40,N,516898.885136431,4982973.04885047,2017,September,0,6,0
41,N,517384.200231948,4982693.84463859,2017,September,0,5,0
42,N,518362.576437047,4982569.07355729,2017,September,0,3,0
43,N,518021.706165442,4979034.85402033,2017,September,0,6,0
44,S,520174.63715964,4973243.27725806,2017,September,0,5,0
51,W,506075.995370196,4970329.80866061,2017,September,0,3,0
52,W,505594.193211956,4970219.44323731,2017,September,0,1,0
53,W,505195.355406398,4969969.02789757,2017,September,0,4,0
59,W,508265.819679822,4967764.28003943,2017,September,0,6,0
61,W,507343.377830752,4967339.06822684,2017,September,0,1,0
62,N,517380.340685434,4979578.52999751,2017,September,0,2,0
63,E,526886.356276842,4986251.06151759,2017,September,1,3,0
64,W,500912.813040689,4972193.29174085,2017,September,1,6,0
66,W,500423.876279277,4973003.58555095,2017,September,1,6,0
67,W,500787.760070427,4972621.34065107,2017,September,1,7,0
73,S,514979.278717455,4964030.9081177,2017,September,0,1,0
74,S,511168.796987257,4964117.15639934,2017,September,0,6,0
75,S,512134.726055508,4963912.340192,2017,September,0,3,0
76,S,512799.019287632,4964019.24843917,2017,September,0,2,0
77,S,511623.696228345,4964313.99232116,2017,September,0,5,0
1,S,517497.186209328,4972228.92863794,2018,September,1,3,1
2,N,514759.675711603,4980602.1592878,2018,September,0,3,0
8,W,500565.461747376,4972393.98504974,2018,September,1,2,1
9,N,517775.24616469,4979587.01261704,2018,September,0,6,1
10,E,524347.609815609,4983974.1416071,2018,September,0,2,1
11,E,526705.559272607,4982601.25535906,2018,September,0,3,1
12,E,525342.204714294,4982671.43764807,2018,September,0,3,1
13,E,526257.035574518,4983407.4117369,2018,September,0,5,1
14,E,527480.650904288,4983330.91003066,2018,September,0,9,1
15,E,526310.495638795,4986438.62298777,2018,September,1,3,0
16,E,526249.378081342,4986726.95581947,2018,September,1,3,1
17,N,517337.383527847,4979891.57516244,2018,September,0,4,1
18,N,517678.054223447,4980101.6439078,2018,September,0,6,1
21,E,523793.883298089,4984073.33833352,2018,September,0,3,1
22,E,524677.454450524,4984306.61255901,2018,September,0,7,0
27,W,505243.956394526,4964565.45408639,2018,September,0,4,0
28,W,505977.683021717,4964712.13492385,2018,September,0,6,0
29,W,505683.986636466,4965429.69865505,2018,September,0,5,0
34,S,517601.556879404,4973549.13002956,2018,September,0,7,0
36,S,518825.697055214,4974049.60896755,2018,September,0,3,0
37,S,519423.000936838,4974308.02841513,2018,September,0,0,0
39,N,518349.494602608,4983054.75359993,2018,September,0,3,0
40,N,516898.885136431,4982973.04885047,2018,September,0,4,0
41,N,517384.200231948,4982693.84463859,2018,September,0,2,0
43,N,518021.706165442,4979034.85402033,2018,September,0,10,0
44,S,520174.63715964,4973243.27725806,2018,September,0,5,0
59,W,508265.819679822,4967764.28003943,2018,September,0,5,0
61,W,507343.377830752,4967339.06822684,2018,September,0,6,0
62,N,517380.340685434,4979578.52999751,2018,September,0,5,1
63,E,526886.356276842,4986251.06151759,2018,September,1,2,1
64,W,500912.813040689,4972193.29174085,2018,September,1,5,0
66,W,500423.876279277,4973003.58555095,2018,September,1,3,0
67,W,500787.760070427,4972621.34065107,2018,September,1,7,0
73,S,514979.278717455,4964030.9081177,2018,September,0,6,0
74,S,511168.796987257,4964117.15639934,2018,September,0,4,0
75,S,512134.726055508,4963912.340192,2018,September,0,7,0
76,S,512799.019287632,4964019.24843917,2018,September,0,7,0
77,S,511623.696228345,4964313.99232116,2018,September,0,5,0
1,S,517497.186209328,4972228.92863794,2019,September,1,3,1
2,N,514759.675711603,4980602.1592878,2019,September,0,4,0
8,W,500565.461747376,4972393.98504974,2019,September,1,3,0
9,N,517775.24616469,4979587.01261704,2019,September,0,6,1
10,E,524347.609815609,4983974.1416071,2019,September,0,2,0
11,E,526705.559272607,4982601.25535906,2019,September,0,5,1
12,E,525342.204714294,4982671.43764807,2019,September,0,2,1
13,E,526257.035574518,4983407.4117369,2019,September,0,3,0
14,E,527480.650904288,4983330.91003066,2019,September,0,5,1
15,E,526310.495638795,4986438.62298777,2019,September,1,5,0
16,E,526249.378081342,4986726.95581947,2019,September,1,3,1
17,N,517337.383527847,4979891.57516244,2019,September,0,5,0
18,N,517678.054223447,4980101.6439078,2019,September,0,2,0
19,S,517835.346203836,4971412.41094394,2019,September,0,6,0
21,E,523793.883298089,4984073.33833352,2019,September,0,2,1
22,E,524677.454450524,4984306.61255901,2019,September,0,2,0
27,W,505243.956394526,4964565.45408639,2019,September,0,5,0
28,W,505977.683021717,4964712.13492385,2019,September,0,4,0
29,W,505683.986636466,4965429.69865505,2019,September,0,4,0
39,N,518349.494602608,4983054.75359993,2019,September,0,6,0
40,N,516898.885136431,4982973.04885047,2019,September,0,4,0
41,N,517384.200231948,4982693.84463859,2019,September,0,3,0
42,N,518362.576437047,4982569.07355729,2019,September,0,2,0
43,N,518021.706165442,4979034.85402033,2019,September,0,9,0
44,S,520174.63715964,4973243.27725806,2019,September,0,4,0
51,W,506075.995370196,4970329.80866061,2019,September,0,2,0
52,W,505594.193211956,4970219.44323731,2019,September,0,4,0
53,W,505195.355406398,4969969.02789757,2019,September,0,5,0
59,W,508265.819679822,4967764.28003943,2019,September,0,4,0
61,W,507343.377830752,4967339.06822684,2019,September,0,4,0
62,N,517380.340685434,4979578.52999751,2019,September,0,3,1
63,E,526886.356276842,4986251.06151759,2019,September,1,2,0
64,W,500912.813040689,4972193.29174085,2019,September,1,1,0
66,W,500423.876279277,4973003.58555095,2019,September,1,2,0
67,W,500787.760070427,4972621.34065107,2019,September,1,2,0
